"pants_num","pants_name","pants_brand","pants_hashtag","pants_starrating","pants_imgUrl","pants_rank","pants_hearts_count"
"2284220","[SET] YKK 2-WAY 테크 숏 자켓 셋업_차콜","CODEGRAPHY","#트레이닝세트#트레이닝복#트레이닝#자켓#바람막이#오버핏#셋업","4.8","https://image.msscdn.net/images/goods_img/20211228/2284220/2284220_3_500.jpg","8679","9689"
"1778286","원턱 와이드 코튼 팬츠 (KHAKI)","TOFFEE","#면바지#코튼팬츠#와이드팬츠#와이드#토피바지#토피와이드#치노팬츠","4.8","https://image.msscdn.net/images/goods_img/20210204/1778286/1778286_1_500.jpg","8679","9474"
"890521","유스 와이드 카고팬츠 4종 블랙 YHLP2159","JEMUT","#와이드팬츠#와이드핏#카고팬츠#코튼팬츠#팬츠","4.7","https://image.msscdn.net/images/goods_img/20181025/890521/890521_1_500.jpg","8679","16697"
"2392464","우먼즈 릴렉스드 라운지 스웨트 팬츠 [블랙]","MUSINSA STANDARD","#무신사스탠다드우먼즈#우먼즈스웨트컬렉션#스웨트컬렉션#이지웨어#라운지웨어#편한바지#트레이닝복","4.8","https://image.msscdn.net/images/goods_img/20220302/2392464/2392464_1_500.jpg","8679","4329"
"1321879","슬림 크롭 데님 팬츠 [블랙]","MUSINSA STANDARD","#데님컬렉션#슬림핏#워싱진#청바지#유아인착장상품#캐주얼팬츠#크롭진#스트레이트#무탠픽업","4.7","https://image.msscdn.net/images/goods_img/20200225/1321879/1321879_2_500.jpg","8679","8532"
"1156323","탄체크 와이드 팬츠 (블랙)","OFFICIAL GARMENT","#밴딩팬츠#슬랙스#와이드팬츠#체크바지#타탄체크#세미와이드#와이드슬랙스","4.8","https://image.msscdn.net/images/goods_img/20190917/1156323/1156323_1_500.jpg","8679","16465"
"1786746","3스트라이프 우븐 팬츠 - 블랙 / GK8982","ADIDAS","#에센셜팬츠#우븐팬츠#우븐바지#에어로레디#친환경#프라임그린#삼선바지#삼선팬츠#3ST","4.7","https://image.msscdn.net/images/goods_img/20210209/1786746/1786746_1_500.jpg","8679","5086"
"658030","타탄 체크 팬츠 블랙","ACOVER","#밴딩팬츠#체크바지#체크#팬츠#바지#밴딩#긴바지","4.5","https://image.msscdn.net/images/goods_img/20171023/658030/658030_1_500.jpg","8679","21814"
"466299","Stone Worker ST Greyish / NewCrop","PIECE WORKER","#데님#스톤워커#중청#진#청바지#크롭#크롭진","4.8","https://image.msscdn.net/images/goods_img/20161222/466299/466299_8_500.jpg","8679","12253"
"1568032","사계절 스트링 트레이닝팬츠 (블랙)","ANOLORCODE","#스트링#트레이닝바지#트레이닝팬츠#트레이닝#밴딩팬츠#와이드팬츠#스트링팬츠","4.8","https://image.msscdn.net/images/goods_img/20200828/1568032/1568032_4_500.jpg","8679","6712"
"2116434","리얼 와이드 벨티드 슬랙스 [블랙]","MUSINSA STANDARD","#정장팬츠#기본슬랙스#벨트#트라우저#허리밴딩#셋업#정장바지#퍼펙트슬랙스","4.9","https://image.msscdn.net/images/goods_img/20210908/2116434/2116434_2_500.jpg","8679","3909"
"983196","CARGO STRING PANTS _ BLACK","FRIZMWORKS","#스트링카고팬츠#스트링팬츠#조거팬츠#카고바지#카고조거팬츠#미드세일","4.7","https://image.msscdn.net/images/goods_img/20190314/983196/983196_2_500.jpg","8679","19990"
