"top_num","top_name","top_brand","top_hashtag","top_starrating","top_imgUrl","top_rank","top_hearts_count"
"1005680","사인로고 반팔 티셔츠 화이트","WHATITISNT","#로고#반팔#반팔티셔츠#사인로고#반팔셔츠#빅로고티#반팔티","4.8","https://image.msscdn.net/images/goods_img/20190404/1005680/1005680_10_500.jpg","524","31450"
"1420730","[패키지] NYC LOCATION T-SHIRT (16COLOR) [LRQMCTA401M]","GROOVE RHYME","#로고#맨투맨#반팔티#오버사이즈#오버핏#티셔츠#패키지","4.8","https://image.msscdn.net/images/goods_img/20200424/1420730/1420730_1_500.jpg","524","67440"
"1771239","BALANCE LONG SLEEVE TEE-LIGHT CHARCOAL","AECA WHITE","","4.7","https://image.msscdn.net/images/goods_img/20210201/1771239/1771239_1_500.jpg","524","61"
"893529","(2PACK) S700 무지 후드&amp;T425 무지 반팔티","CHAMPION","","4.3","https://image.msscdn.net/images/goods_img/20181030/893529/893529_2_500.jpg","524","3933"
"996234","크루 넥 긴팔 티셔츠 [블랙]","MUSINSA STANDARD","#기본티#긴팔티#라운드넥#루즈핏#면티셔츠#무지티#MU-T#홈웨어컬렉션#무탠픽업","4.7","https://image.msscdn.net/images/goods_img/20190327/996234/996234_3_500.jpg","524","6733"
"938858","STRIPE 롱 슬리브 Navy","CRITIC","#긴팔티셔츠#롱슬리브#스트라이프#스트라이프티셔츠#쭉티#21S/S컬렉션#패밀리세일","4.7","https://image.msscdn.net/images/goods_img/20190123/938858/938858_1_500.jpg","524","4555"
"1852004","CAMISOLE CROP STRIPE TOP [STRIPE]","5252BYOIOI","#티셔츠#탑#나시#슬리브리스","4.8","https://image.msscdn.net/images/goods_img/20210318/1852004/1852004_1_500.png","524","228"
"996233","크루 넥 긴팔 티셔츠 [화이트]","MUSINSA STANDARD","#기본티#긴팔티#라운드넥#루즈핏#면티셔츠#무지티#MU-T#홈웨어컬렉션#무탠픽업","4.7","https://image.msscdn.net/images/goods_img/20190327/996233/996233_4_500.jpg","524","7451"
"855188","원버튼 더블 피케 티_크림","BLANK ROOM","#긴팔#긴팔티#미니멀#셔츠#카라티#티셔츠#원버튼피케티","4.8","https://image.msscdn.net/images/goods_img/20180911/855188/855188_2_500.jpg","524","1474"
"1848177","스마일 로고 롱슬리브 피그먼트 피코크블루","COVERNAT","#티셔츠#롱슬리브티#긴팔티#기본티셔츠#롱슬리브#긴팔티셔츠#긴팔","4.7","https://image.msscdn.net/images/goods_img/20210316/1848177/1848177_1_500.jpg","524","687"
"2322883","[X MUZIKTIGER] Basic Long Sleeve T-shirt_QUTAX22831BKX","LUCKYMARCHE","#LU#무직타이거","4.8","https://image.msscdn.net/images/goods_img/20220124/2322883/2322883_3_500.jpg","524","3"
"2497807","테리 스트라이프 슬리브리스 / 브라운","HOKUSPOKUS","#나시티#민소매티#레이어드#탱크탑#슬리브리스#민소매티셔츠#슬리브리스티셔츠","","https://image.msscdn.net/images/goods_img/20220419/2497807/2497807_1_500.jpg","524","2"
"1624775","[패키지] 다크니스 후드 2PACK MJHD7427","WV PROJECT","#후드#후디#오버핏#오버핏후드#후드티#그래픽아이템#패키지","4.8","https://image.msscdn.net/images/goods_img/20200925/1624775/1624775_1_500.jpg","524","4581"
"2424544","[LUCKY LE MATCH]Banded Cropped Top (for women)_QWTAX22273WHX","LUCKYMARCHE","#LU#럭키르매치","","https://image.msscdn.net/images/goods_img/20220316/2424544/2424544_1_500.jpg","524","12"
"2020421","코다컬러 크롭 슬리브리스 우먼 RED","KODAK","#코닥어패럴#코닥티셔츠#레이어드나시#여름나시#레이어드#나시#민소매#KODACOLOR","4.7","https://image.msscdn.net/images/goods_img/20210706/2020421/2020421_2_500.jpg","524","395"
"1111126","ORIGIN LOGO CREWNECK BLACK(MG2BSMM485A)","MAHAGRID","#로고스웨트#맨투맨#스웻셔츠#기모","4.7","https://image.msscdn.net/images/goods_img/20190806/1111126/1111126_2_500.jpg","524","8152"
"1116117","클래식 화이트 셔츠 S40","DIAMOND LAYLA","#긴팔#긴팔셔츠#남방#셔츠#플레인#플레인셔츠#화이트셔츠","4.7","https://image.msscdn.net/images/goods_img/20190812/1116117/1116117_3_500.jpg","524","26991"
"1557509","베츠 어센틱 맨투맨 블랙","EBBETSFIELD","#크루넥#맨투맨#헤리티지캐주얼#21F/W컬렉션#베츠#루즈핏맨투맨#스탠다드","4.8","https://image.msscdn.net/images/goods_img/20200820/1557509/1557509_3_500.jpg","524","23177"
"854337","릴렉스 핏 옥스포드 셔츠 [화이트]","MUSINSA STANDARD","#옥스포드셔츠#긴팔셔츠#남방#기본셔츠#무탠픽업","4.7","https://image.msscdn.net/images/goods_img/20180910/854337/854337_3_500.jpg","524","10783"
"2339420","오버사이즈 풀오버 카라 니트 [BLACK]","DRAW FIT","#긴팔니트#봄니트#오버핏니트#남자니트#기본니트#카라니트#니트","4.9","https://image.msscdn.net/images/goods_img/20220203/2339420/2339420_1_500.jpg","524","1372"
"2450104","22 Summer_ Beige Cotton Tank Top","MARRON EDITION","#민소매#슬리브리스#슬리브리스티셔츠#나시티#민소매티셔츠#나시","","https://image.msscdn.net/images/goods_img/20220328/2450104/2450104_1_500.jpg","15118","29"
"2286717","오버핏 롱 슬리브 써클 에이 긴팔 티셔츠_화이트","ASTRAL PROJECTION","#긴팔티셔츠#롱슬리브티#긴팔티#롱슬리브#쭉티#레이어드#레이어드티","","https://image.msscdn.net/images/goods_img/20211230/2286717/2286717_1_500.jpg","15118","8"
